name,owner,location,phone,email,services,categories,source_url
Anderson's Mower & Bike,,"907 W Yosemite Ave, Manteca, CA 95337", (209) 239-1438,chrisanderson209@hotmail.com,"Lawn Mower Sharpening, Lawn Mower Repair.","Sporting Goods, Bicycle Repair, Bicycle Shops, Gasoline Engines, Lawn Mowers, Lawn Mowers-Sharpening & Repairing ",https://www.yellowpages.com/manteca-ca/mip/andersons-mower-bike-1820588?lid=1001616733055
Baker's Lock & Key Service,,"14078 Lambert Rd, Whittier, CA 90605", (562) 698-8051,phillmossey@hotmail.com,"Panic Hardware & Door Closers, Deadbolts & Door Hardware, For 24 Hour Service Call, Residential, REKEYING, Pilfer & Door Controls, Eight Full Service Mobile Units, Repair, Electronic Access, Emergency Service, 24 Hour Emergency Service, commercial, Property Management Specialists, Locks Changed - Repaired, Mobile Service, Master Key Systems, Pilfer A Door Controls, Commercial, Closed Circuit T.V., Business, Industrial, Business - Banks, Locksmith, Locksmith Services Lock Re-Keying Locks Installations & Repair Lockouts Services Safe and Vault Services Door Closers., Deadsolts & Door Hardware, Electronic Access Systems, Advanced, Key Control Systems, High Security Door Hardware & Key Systems, Safes Sold Service & Installed, High Security Cylinder Systems, Locking Systems, 24 Hr. Emergency, Master Key Systems, Commercial, Closed Circuit T.V., Business, Industrial, Residential, commercial, Mobile Service.","Sporting Goods, Access Control Systems, Guns & Gunsmiths, Locks & Locksmiths, Locksmiths Equipment & Supplies, Printing Services, Safes & Vaults-Opening & Repairing, Security Control Systems & Monitoring, Security Equipment & Systems Consultants, Security Guard & Patrol Service ",https://www.yellowpages.com/whittier-ca/mip/bakers-lock-key-service-1772811?lid=1002004488492
Party Pleasers Event Rental Co.,,"355 Balboa Cir, Camarillo, CA 93012", (805) 482-0339,Customerservice@partypleasers.com,,"Sporting Goods, Balloons-Retail & Delivery, Camping Equipment, Party Favors, Supplies & Services, Party Planning, Party Supply Rental, Tents-Rental, Wedding Supplies & Services ",https://www.yellowpages.com/camarillo-ca/mip/party-pleasers-event-rental-co-14667755?lid=1001037377512
USA Water Polo,,"2124 Main St Ste 240, Huntington Beach, CA 92648", (714) 500-5445,,,"Sports & Entertainment Centers, Health Clubs, Sports Clubs & Organizations ",https://www.yellowpages.com/huntington-beach-ca/mip/usa-water-polo-2363074
Game Time Basketball Camps,,, (805) 729-5539,coachgil@gametimebasketballcamps.com,,"Basketball Court Construction, Basketball Clubs, Building Specialties, Camps-Recreational, Recreation Centers, Sports Clubs & Organizations, Teaching Agencies, Youth Camps, Youth Organizations & Centers ",https://www.yellowpages.com/nationwide/mip/game-time-basketball-camps-526277887?lid=1001488869434
My Place Sports Bar & Grill,,"5452 Commercial Dr, Huntington Beach, CA 92649", (657) 666-5728,sdrales@aol.com,"Romantic Dining Restaurants, Karaoke, Weddings, Sunday Brunch, College Scene Restaurants, Private Dining, Coupon Restaurants, British Menus, Full Bar, Late Night, Thanksgiving Restaurants, Soup Restaurants, BYOB Restaurants, Take Out, Breakfast and Diners Restaurants, Rehearsal Dinner, Fireside Restaurants, Late Night Dining, Happy Hour, Outdoor Restaurants, Restaurants with Banquet Rooms, Gastropubs, Fusion Restaurants, Restaurant Delivery, Business Dining, Outdoor Dining, Breakfast, Hotel Restaurants, Upscale Casual Restaurants, TV, Philly Cheesesteak Restaurants, Kids Eat Free, Group Dining, Early Bird Dinners, Lobster Restaurants, Food Delivery, Event Planning, Banquet Facilities, Buffet, Live Music, Brunch, Dining View Restaurants, Bar Scene Restaurants, Dining Trendy Scene Restaurants, Entertainment, Bar, Casual Date Restaurants, Highly Rated Restaurants, Theme Restaurants, Group Dining Restaurants, Lunch, Romantic Restaurants, Inexpensive Restaurants, Parties, Algerian Cuisine, Coffee Shops, Fine Dining, Casual Dining, All Night Restaurants, Bar & Grill, Celeb Hangout Restaurants, Dinner, Curbside Pickup Restaurants, Restaurants That Cater, Ramen, American Food, Vegan Foods, Gourmet Foods, African Menus, Appetizers, Crepes, Sandwiches, Hot Dogs, Chicken Menus, Indian Food, Pho, Wild Game, Turkey, Salad Bars, Mediterranean Menus, Desserts, Middle Eastern Menus, Soups & Salads, Airport Restaurants, Soup, Mexican Food, European Menus, Caribbean Menus, Asian Menus, Pizza, Burgers, Fish & Seafood Menus, Soup Bars, Scandinavian Food, Barbeque Menus, Sushi, Seafood, Fried Chicken, Salads, Lunch, Chili, Steaks, Southern & Homestyle Menus, Italian Food, Japanese Menus, Spaghetti, International Food, Vegetarian Menus, Chinese Menus, Noodles, French Menus, Thai Food, Dinner Menus, Children's Menus.","Bars, Bar & Grills, Breakfast, Brunch & Lunch Restaurants, Latin American Restaurants, Mexican Restaurants, Night Clubs, Restaurants, Sports Bars, Taverns, Wine Bars ",https://www.yellowpages.com/huntington-beach-ca/mip/my-place-sports-bar-grill-475722446?lid=1002102905401
Gable House Bowl,,"22501 Hawthorne Blvd, Torrance, CA 90505", (310) 378-2265,mickey@gablehousebowl.com,"Karaoke, Logistics Planning, Automatic Scoring, Classes, Children's Parties, Company Parties And, Pro Shop, Open Bowling, Rock & Bowl, Dance Floor, Sandwiches, Bumper Bowling for Individuals OR Large Groups, Automatic Score Keepers, Company & Christmas Parties Bumper Bowling, 40 Lanes, Bowling, Indoor Events, Bumper Bowling for Individuals & Large Groups, Daily Specials, Senior Citizen Discounts, Interactive Games, Birthday Parties!, Sporting Events, Meeting Planning, Full Bar - Big Screen T.V., Birthday Parties, Large Groups, Senior Discounts, Christmas Parties, Open Bowling Every Day, Cocktail Parties, Video Games, Big Screen T.V., Bars & Lounges, Bartenders, Bowling Birthday Parties for Children & Adults, Professional Shop, Party & Banque, Holiday Parties, Banquet Rooms, Bumper Bowling for Individuals OR Large Parties, Laser Light Shows, Entertainment, Pro Shops, Laser Tag, Party & Banquet Rooms Available, Full Menu, Private Parties, Event Consulting, AUTOMATIC SCORE KEEPERS, Rock & Bowl Friday Saturday & Sunday, Shuffleboard, Receptions, Rock N Bowl, Parties, Billiards, Lazer Tag, Teen Parties, Party Planning Coordinator, Snack Bars, Large Video Game, Coordination, Big Screen Televisions, Family Events, Game Rooms, Music & Entertainment, League Play, Appetizers, Full Bar, Satellite Big Screen TV, Synthetic Lanes, Music, Bowling Birthday Parties, Jacks Place Bar Inside, Pinball Machines, Fun & Safe, Reunions, 40 LANES, Corporate Events, Combat Games, Cocktail Lounge, Bowling Parties for Adults & Children, For Adults & Children, Games, Snack Bar, Bowling Enjoyment at Its Best, Banquets, Pro shop, Event Planning, Instruction, Party Room, Indoor Playgrounds, Bumper Bowling, Fun for Kids and Adults, Bowling Birthday Parties for Adults & Children, Rock & Bowl Friday, Saturday & Sunday, Birthday Big Screen Tv, Company Parties and Christmas Parties, 2,500 Sq. Ft. Arena, Invitations, Parties, Party Planning, Darts, Bumper Bowling For, Equipment Rental, Individuals & Large Groups, Snacks, Vending Machines, Karaoke, Soup, Soft Drinks, Shoes, Appetizers, Games, Pizza, Salads.","Sporting Goods, Amusement Places & Arcades, Bowling, Bowling Equipment & Accessories, Bowling Instruction, Children's Party Planning & Entertainment, Laser Entertainment, Laser Tag Facilities, Recreation Centers, Sports Instruction, Tourist Information & Attractions ",https://www.yellowpages.com/torrance-ca/mip/gable-house-bowl-7149263?lid=1000232144407
Big West Conference,,"2 Corporate Park, Irvine, CA 92606", (949) 261-2525,mhenke@calpoly.edu,,"Basketball Clubs, Associations, Event Ticket Sales, Sports & Entertainment Ticket Sales, Sports Clubs & Organizations, Stadiums, Arenas & Athletic Fields, Tourist Information & Attractions ",https://www.yellowpages.com/irvine-ca/mip/big-west-conference-4765201?lid=1001037358287
PanIQ Escape Room San Francisco,,"750 Hyde St, San Francisco, CA 94109", (415) 530-9120,sanfrancisco@paniqroom.com,,"Amusement Places & Arcades, Amusement Devices, Amusement Park Rides Equipment, Sporting Goods, Sports & Entertainment Centers, Tourist Information & Attractions ",https://www.yellowpages.com/san-francisco-ca/mip/paniq-escape-room-san-francisco-524924161
SB Gymnastics,,"365 Galvez St, Stanford, CA 94305",,sbgymnastics@gmail.com,,"Gymnastics Instruction, Sports Instruction ",https://www.yellowpages.com/stanford-ca/mip/sb-gymnastics-461508226
